품목보고번호,허가일자,LAST_UPDT_DTM,LCNS_NO,제품명,QLITY_MNTNC_TMLMT_DAYCNT,업소명,식품유형,CHILD_CRTFC_YN,INDUTY_CD_NM,DISPOS,포장재질,USAGE,ETQTY_XPORT_PRDLST_YN,유통기한,HIENG_LNTRT_DVS_NM,PRODUCTION,PRPOS
19730380010374 ,20190718,20230610,19730380010 ,진스트15 스틱,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,"이미, 이취가 없고 고유의 색택과 향미를 가진 암갈색 액상","내포장(폴리에틸렌), 외포장(지관)","제품 그대로 섭취(최종제품),  1일 1회 1포 (10 g)를 섭취하십시오",O,제조일부터     2 년,해당없음,아니오,
19730380010373 ,20190710,20230610,19730380010 ,참 진한 석류즙,제조일부터           2년,(주)일화춘천공장,과.채주스,,식품제조가공업,"고유의 향미가 있고 이미, 이취가 없는 적자색의 액상",합성수지재 (PE 또는 PP),기호에 따라 제품 그대로 직접 또는 차게 해서 음용 한다.,O,제조일부터           2년,해당없음,아니오,
19730380010376 ,20190708,20230610,19730380010 ,지오스퀴즈팜 배.도라지,제조일부터     2 년,(주)일화춘천공장,과.채주스,,식품제조가공업,"갈색의 액상으로 이미,이취가 없다",내포장재질 PP,"1일 2 ~ 3회 식전, 식후",O,제조일부터     2 년,해당없음,아니오,
19730380010378 ,20190703,20230610,19730380010 ,참 진(眞)한 도라지배즙,제조일부터     2 년,(주)일화춘천공장,과.채음료,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는 갈색~흑갈색 액상,파우치 (PP),"제품 그대로 섭취(최종제품), 수시로 음용",O,제조일부터     2 년,해당없음,아니오,
19730380010377 ,20190703,20230610,19730380010 ,행복한삼 진 홍삼농축액 스틱,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는 진한 흑갈색의 액상,스틱파우치(PE),"제품 그대로 섭취(최종제품), 수시로 음용",O,제조일부터     2 년,해당없음,아니오,
19730380010367 ,20190702,20230610,19730380010 ,띠띠뽀 아이원츄 사과 포도,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는 자색-적색의 액상,파우치 (PP),"제품 그대로 섭취(최종제품), 수시로 음용",O,제조일부터     2 년,해당없음,아니오,
19730380010366 ,20190620,20230610,19730380010 ,침향홍삼스틱,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,"이미, 이취가 없고 고유의 색택과 향미를 가진 암갈색 액상","내포장(폴리에틸렌), 외포장(지함","제품 그대로 섭취(최종제품),  1일 1회 1포 (10 g)를 섭취하십시오",O,제조일부터     2 년,해당없음,아니오,
19730380010370 ,20190612,20230610,19730380010 ,발효홍삼정 컴파운드케이K 진액,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는 액상,내포장재질 PP,"1일 1회, 1회 1포 섭취",O,제조일부터     2 년,해당없음,아니오,
19730380010371 ,20190612,20230610,19730380010 ,발효홍삼정 컴파운드케이K 진액스틱,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는 액상,내포장재질 PE,"1일 1회, 1회 1포 섭취",O,제조일부터     2 년,해당없음,아니오,
19730380010372 ,20190612,20230610,19730380010 ,홍삼과 더 건강한 석류,제조일부터     2 년,(주)일화춘천공장,인삼.홍삼음료,,식품제조가공업,고유의 향미가 있고 이미 이취가 없는  액상,내포장재질: PP,"1일 1회, 1회 1포 섭취",O,제조일부터     2 년,해당없음,아니오,
198506140552941 ,20190610,20200519,19850614055 ,요미요미 튼튼 배도라지,,(주)엠에스씨,과.채주스,,식품제조가공업,"이미, 이취가 없고 배, 도라지맛을 가진 음료","치어팩 포장 ？ 내부포장재질(용기,뚜껑): 폴리에틸렌  - 외부포장재질: 종이제",음료로 직접 음용한다.,O,제조일로부터 12개월까지,해당없음,아니오,
